jobpost,date,Title,Company,AnnouncementCode,Term,Eligibility,Audience,StartDate,Duration,Location,JobDescription,JobRequirment,RequiredQual,Salary,ApplicationP,OpeningDate,Deadline,Notes,AboutC,Attach,Year,Month,IT
"Yerevan Brandy Company
JOB TITLE:  Software Developer
POSITION LOCATION: Yerevan, Armenia
JOB RESPONSIBILITIES:  
- Rendering technical assistance to Database Management Systems;
- Realization of SQL servers maintenance activities: back-up and
replication;
- Participation in designing of software development projects.
REQUIRED QUALIFICATIONS:  
- University degree; economical background is a plus;
- Excellent knowledge of Windows 2000 Server, Networking TCP/ IP
technologies, MS SQL 2000 Server, Visual Basic 6;
- At least 2 years of experience in database software development;
- Good knowledge of English.
REMUNERATION:  Will be commensurate with the norms accepted in the
Company.
APPLICATION PROCEDURES:  Successful candidates should submit
- CV; 
- 2 relevant Recommendation Letters (from previous employers);
- Copy (-ies) of Diploma (-s) and relevant certificates (if available);
- 1 color photo (3x4)
either to: 2 Isakov Avenue, 375082, Yerevan or send by the following
fax: 587 713 or e-mail to:armine.bibilyan@..., Human Resources Department,
Armine Bibilyan.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
APPLICATION DEADLINE:  20 January 2004, 18:00
----------------------------------
To place a free posting for job or other career related opportunities in
your organization at careercenter.am website, e-mail us atmailbox@...","Jan 10, 2004",Software Developer,Yerevan Brandy Company,,,,,,,"Yerevan, Armenia",,"- Rendering technical assistance to Database Management Systems;
- Realization of SQL servers maintenance activities: back-up and
replication;
- Participation in designing of software development projects.","- University degree; economical background is a plus;
- Excellent knowledge of Windows 2000 Server, Networking TCP/ IP
technologies, MS SQL 2000 Server, Visual Basic 6;
- At least 2 years of experience in database software development;
- Good knowledge of English.
REMUNERATION:  Will be commensurate with the norms accepted in the
Company.",,"Successful candidates should submit
- CV; 
- 2 relevant Recommendation Letters (from previous employers);
- Copy (-ies) of Diploma (-s) and relevant certificates (if available);
- 1 color photo (3x4)
either to: 2 Isakov Avenue, 375082, Yerevan or send by the following
fax: 587 713 or e-mail to:armine.bibilyan@..., Human Resources Department,
Armine Bibilyan.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.",,"20 January 2004, 18:00",,,,2004,1,True
"NetCall Communications
JOB TITLE:  Network Administrator
POSITION LOCATION: Yerevan, Armenia
JOB RESPONSIBILITIES:  
- Network monitoring and administration;
- Database administration (MS SQL 2000).
REQUIRED QUALIFICATIONS:  
- Excellent knowledge of Windows 2000 Server, Linux platform, Networking
TCP/ IP technologies, MS SQL 2000 Server;
- At least 2 years of experience in the proper field;
- Good knowledge of English.
APPLICATION PROCEDURES:  Successful candidates should submit CV and 1-2
relevant Recommendation Letters (from previous employers) to:job@....
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
APPLICATION DEADLINE:   28 February 2004, 18:00
----------------------------------
To place a free posting for job or other career related opportunities in
your organization at careercenter.am website, e-mail us atmailbox@...","Jan 15, 2004",Network Administrator,NetCall Communications,,,,,,,"Yerevan, Armenia",,"- Network monitoring and administration;
- Database administration (MS SQL 2000).","- Excellent knowledge of Windows 2000 Server, Linux platform, Networking
TCP/ IP technologies, MS SQL 2000 Server;
- At least 2 years of experience in the proper field;
- Good knowledge of English.",,"Successful candidates should submit CV and 1-2
relevant Recommendation Letters (from previous employers) to:job@....
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.",,"28 February 2004, 18:00",,,,2004,1,True
"Xalt LLC
JOB TITLE:  Graphic Designer
POSITION LOCATION: Yerevan, Armenia
JOB DESCRIPTION:   The position of Graphic Designer (GD) demands a
proven, successful experience in the field of ""new media"". The design
and communication concepts that you have created since completing your
studies are proving to be popular. 
JOB RESPONSIBILITIES:  Graphic Designer will be responsible for every
graphical development of our software and websites; from general user
interface to product packaging including user guide documentation; will
assist the marketing and communication team to develop the corporate
material for the group and its subsidiaries; will also create marketing
presentations for both in-house and client projects.
REQUIRED QUALIFICATIONS:  As a GD you are creative, innovative and have
a great capacity to implement your stylish ideas, open to new trends and
fine arts.
- Extensive knowledge of graphic design and marketing communications
tools is required as well as thorough knowledge of Adobe Photoshop and
Adobe Illustrator and at least 2 years experience working in web and
publishing;
- Enough knowledge of Macromedia Freehand, Fireworks and Dreamweaver and
familiarity with complex web developments, G.U.I. standards, web
editors, animations in 3D is a plus.
- You are reliable, responsible and have excellent communications
skills. 
PREFERRED QUALIFICATIONS: 
- English Essential - verbal/ written / understanding;
- Experience as Graphic Designer in a creative environment is an asset;
- Organized, methodical, ""out of the box"" thinker and goal-oriented;
- Willing to learn new skills.
APPLICATION PROCEDURES:  Interested applicants should send CVs by email
to: info@... bring them to the following address: 5 Nalbandyan Str.,
Yerevan 375010, Armenia. Tel: 374 1 548860; Fax: 374 1 548865.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
APPLICATION DEADLINE:   26 January 2004
----------------------------------
To place a free posting for job or other career related opportunities in
your organization at careercenter.am website, e-mail us atmailbox@...","Jan 16, 2004",Graphic Designer,Xalt LLC,,,,,,,"Yerevan, Armenia","The position of Graphic Designer (GD) demands a
proven, successful experience in the field of ""new media"". The design
and communication concepts that you have created since completing your
studies are proving to be popular.","Graphic Designer will be responsible for every
graphical development of our software and websites; from general user
interface to product packaging including user guide documentation; will
assist the marketing and communication team to develop the corporate
material for the group and its subsidiaries; will also create marketing
presentations for both in-house and client projects.","As a GD you are creative, innovative and have
a great capacity to implement your stylish ideas, open to new trends and
fine arts.
- Extensive knowledge of graphic design and marketing communications
tools is required as well as thorough knowledge of Adobe Photoshop and
Adobe Illustrator and at least 2 years experience working in web and
publishing;
- Enough knowledge of Macromedia Freehand, Fireworks and Dreamweaver and
familiarity with complex web developments, G.U.I. standards, web
editors, animations in 3D is a plus.
- You are reliable, responsible and have excellent communications
skills. 
PREFERRED QUALIFICATIONS: 
- English Essential - verbal/ written / understanding;
- Experience as Graphic Designer in a creative environment is an asset;
- Organized, methodical, ""out of the box"" thinker and goal-oriented;
- Willing to learn new skills.",,"Interested applicants should send CVs by email
to: info@... bring them to the following address: 5 Nalbandyan Str.,
Yerevan 375010, Armenia. Tel: 374 1 548860; Fax: 374 1 548865.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.",,26 January 2004,,,,2004,1,True
"Caucasus Research Resource Center - Armenia
TITLE:   Demographic Analysis Workshop
DURATION:  3 week
LOCATION:  Yerevan, Armenia
DESCRIPTION:   Demographic analysis and population projection represent
one of the cornerstones of public sector planning and private sector
market analysis at the national, regional, and local levels. Population
projections also provide the crucial denominator data needed for health
programs monitoring and evaluation. This workshop will strengthen the
participant's capacity: 
- to evaluate census, survey, and vital statistics data; 
- produce a consistent set of demographic estimates; 
- prepare national population projections for planning, monitoring, and
evaluation. 
The workshop will focus on the analysis of data from the 2001 census,
the 2000 Demographic and Health Survey (DHS), vital statistics, and
other administrative data. However, special attention will be given to
the census and DHS data in order to maximize the timeliness and utility
of analytical products based on these data sources. Approximately two
days will be devoted to developing a design and outline for a 2001
census analytical report or series of reports. 
Participants will use the same U.S. Census Bureau and United Nations
demographic analysis and projection software used by staff of the Census
Bureau's International Programs Center to prepare estimates and
projections for the countries of Western Asia, including Armenia. 
REQUIRED QUALIFICATIONS:  Participants should be mid-level professionals
(Statisticians and Demographers) who would directly use official census
and demographic survey data in their day-to-day work. This workshop
would be most beneficial for those who make or use population
projections. Participants should have a university degree and be
computer-literate, using PCs on a daily basis in a Windows environment.
English language is helpful, but not required. 
Individuals from government, private, and academic institutions are
sought. Participants from ministries such as Education, Health, or other
ministries that depend on demographic data are encouraged to apply.
Individuals from mass media or NGOs (unless specifically interested in
demography), would not be appropriate for this course. 
COURSE OVERVIEW:  This workshop will be taught by demographers from the
United States Census Bureau. The course will be taught in English, with
consecutive translation provided in Armenian. The course is offered free
to qualified candidates. No housing, travel, or per diem allowances are
available. 
This is a three-week course, starting March 9th and finishing on the
26th. Classes will be held Tuesday through Saturday, except for the last
and final week, when classes will be held Tuesday through Friday. A
one-hour break will be given for lunch, with coffee breaks during the
day as appropriate. Potential candidates must be able to make the
three-week commitment that this course requires-absences for more than a
day would not be acceptable. 
APPLICATION PROCEDURES:   If you are interested in this course and feel
you meet the qualifications stated above, please contact CRRC for an
application form or submit the attached application form via e-mail tocrrc@.... You will be notified by February 20th if you have been
selected for this workshop. CRRC's contact information is as follows: 
Caucasus Research Resource Centers-Armenia 
52 Abovyan Street 
Rooms 305, 307, 309, 312 
Yerevan, Armenia 375025 
Website: www.crrc.am 
Phone/Fax: (3741) 58-13-30, 58-14-50
Please clearly mention in your application letter that you learned of
this opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
APPLICATION DEADLINE:   30 January 2004
----------------------------------
To place a free posting for job or other career related opportunities in
your organization at careercenter.am website, e-mail us atmailbox@...","Jan 24, 2004",Demographic Analysis Workshop,Caucasus Research Resource Center - Armenia,,,,,,3 week,"Yerevan, Armenia
DESCRIPTION:   Demographic analysis and population projection represent
one of the cornerstones of public sector planning and private sector
market analysis at the national, regional, and local levels. Population
projections also provide the crucial denominator data needed for health
programs monitoring and evaluation. This workshop will strengthen the
participant's capacity: 
- to evaluate census, survey, and vital statistics data; 
- produce a consistent set of demographic estimates; 
- prepare national population projections for planning, monitoring, and
evaluation. 
The workshop will focus on the analysis of data from the 2001 census,
the 2000 Demographic and Health Survey (DHS), vital statistics, and
other administrative data. However, special attention will be given to
the census and DHS data in order to maximize the timeliness and utility
of analytical products based on these data sources. Approximately two
days will be devoted to developing a design and outline for a 2001
census analytical report or series of reports. 
Participants will use the same U.S. Census Bureau and United Nations
demographic analysis and projection software used by staff of the Census
Bureau's International Programs Center to prepare estimates and
projections for the countries of Western Asia, including Armenia.",,,"Participants should be mid-level professionals
(Statisticians and Demographers) who would directly use official census
and demographic survey data in their day-to-day work. This workshop
would be most beneficial for those who make or use population
projections. Participants should have a university degree and be
computer-literate, using PCs on a daily basis in a Windows environment.
English language is helpful, but not required. 
Individuals from government, private, and academic institutions are
sought. Participants from ministries such as Education, Health, or other
ministries that depend on demographic data are encouraged to apply.
Individuals from mass media or NGOs (unless specifically interested in
demography), would not be appropriate for this course. 
COURSE OVERVIEW:  This workshop will be taught by demographers from the
United States Census Bureau. The course will be taught in English, with
consecutive translation provided in Armenian. The course is offered free
to qualified candidates. No housing, travel, or per diem allowances are
available. 
This is a three-week course, starting March 9th and finishing on the
26th. Classes will be held Tuesday through Saturday, except for the last
and final week, when classes will be held Tuesday through Friday. A
one-hour break will be given for lunch, with coffee breaks during the
day as appropriate. Potential candidates must be able to make the
three-week commitment that this course requires-absences for more than a
day would not be acceptable.",,"If you are interested in this course and feel
you meet the qualifications stated above, please contact CRRC for an
application form or submit the attached application form via e-mail tocrrc@.... You will be notified by February 20th if you have been
selected for this workshop. CRRC's contact information is as follows: 
Caucasus Research Resource Centers-Armenia 
52 Abovyan Street 
Rooms 305, 307, 309, 312 
Yerevan, Armenia 375025 
Website: www.crrc.am 
Phone/Fax: (3741) 58-13-30, 58-14-50
Please clearly mention in your application letter that you learned of
this opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.",,30 January 2004,,,,2004,1,True
"CIT Ltd.
JOB TITLE:  Programmer
POSITION LOCATION: Yerevan, Armenia
REQUIRED QUALIFICATIONS:  
- Work experience of at least two years; 
- Knowledge of Visual Studio .NET.
REMUNERATION:  Depends on skills and previous experience.
APPLICATION PROCEDURES:  Send your resume to Rosa Karapetyan at:rosak@... or submit to: 6/1 Abelyan st., Yerevan (3-rd floor). For
additional information call  397290 . Short-listed candidates will be
asked to pass a test and an interview.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
APPLICATION DEADLINE:   20 February 2004
----------------------------------
To place a free posting for job or other career related opportunities in
your organization at careercenter.am website, e-mail us atmailbox@...","Jan 26, 2004",Programmer,CIT Ltd.,,,,,,,"Yerevan, Armenia",,,"- Work experience of at least two years; 
- Knowledge of Visual Studio .NET.
REMUNERATION:  Depends on skills and previous experience.",,"Send your resume to Rosa Karapetyan at:rosak@... or submit to: 6/1 Abelyan st., Yerevan (3-rd floor). For
additional information call  397290 . Short-listed candidates will be
asked to pass a test and an interview.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.",,20 February 2004,,,,2004,1,True
"NetMen Ltd.
JOB TITLE:  Software Developers
POSITION LOCATION: Yerevan, Armenia
JOB DESCRIPTION:   We are looking for a Programmers with knowledge of
Java, Jsp, J2EE.
REQUIRED QUALIFICATIONS:  
- Minimum 3 years experience of software development;
- Strong object oriented skills;
- Strong technical background in Java software development, J2EE, XML,
Web Services, SOAP;
- Strong OOA&D skills;
- Practical knowledge of UML;
- Experience with international projects;  
- Knowledge of English and German languages (not mandatory, but a big
plus).
REMUNERATION:  Depends on skills and previous experience.
APPLICATION PROCEDURES:  Send your resume to: mhakobyan@.... Only
short-listed candidates will be asked to pass an interview. 
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
APPLICATION DEADLINE:   Open
ABOUT COMPANY:  NetMen Ltd. is a JV IT company in Armenia with focus on
Java and web technology. 
----------------------------------
To place a free posting for job or other career related opportunities in
your organization at careercenter.am website, e-mail us atmailbox@...","Feb 17, 2004",Software Developers,NetMen Ltd.,,,,,,,"Yerevan, Armenia","We are looking for a Programmers with knowledge of
Java, Jsp, J2EE.",,"- Minimum 3 years experience of software development;
- Strong object oriented skills;
- Strong technical background in Java software development, J2EE, XML,
Web Services, SOAP;
- Strong OOA&D skills;
- Practical knowledge of UML;
- Experience with international projects;  
- Knowledge of English and German languages (not mandatory, but a big
plus).
REMUNERATION:  Depends on skills and previous experience.",,"Send your resume to: mhakobyan@.... Only
short-listed candidates will be asked to pass an interview. 
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.",,Open,,"NetMen Ltd. is a JV IT company in Armenia with focus on
Java and web technology.",,2004,2,True
"Ameria CJSC
JOB TITLE:   Graphic Designer
POSITION LOCATION:   Yerevan, Armenia
JOB DESCRIPTION:   Ameria CJSC is seeking qualified candidates for the
position of an in-house Graphic Designer for a company specializing in
production of sweets and pastries.
JOB RESPONSIBILITIES:   
- Design of company production packaging;
- Preparation and design of promotional and related electronic/ print
materials;
- Design and development of advertisement/ promotional tools.
REQUIRED QUALIFICATIONS:   
- Professional background in graphic design;
- Strong knowledge and experience in Corel Draw, Adobe Photoshop, Adobe
Illustrator, Adobe PageMaker, etc.;
- Strong understanding of composition, color matching, separates on
different output devices.
APPLICATION PROCEDURES:   To apply for this position, please send your
CV to project@.... Please indicate the job title in the subject
line of your e-mail.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
APPLICATION DEADLINE:   05 March 2004
----------------------------------
To place a free posting for job or other career related opportunities in
your organization at careercenter.am website, e-mail us atmailbox@...","Feb 19, 2004",Graphic Designer,Ameria CJSC,,,,,,,"Yerevan, Armenia","Ameria CJSC is seeking qualified candidates for the
position of an in-house Graphic Designer for a company specializing in
production of sweets and pastries.","- Design of company production packaging;
- Preparation and design of promotional and related electronic/ print
materials;
- Design and development of advertisement/ promotional tools.","- Professional background in graphic design;
- Strong knowledge and experience in Corel Draw, Adobe Photoshop, Adobe
Illustrator, Adobe PageMaker, etc.;
- Strong understanding of composition, color matching, separates on
different output devices.",,"To apply for this position, please send your
CV to project@.... Please indicate the job title in the subject
line of your e-mail.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.",,05 March 2004,,,,2004,2,True
"Synergy International Systems, Inc./Armenia
JOB TITLE:   Software Developer  
POSITION LOCATION:   Yerevan, Armenia
JOB DESCRIPTION:   Synergy International Systems, Inc./Armenia seeks to
fill the long-term position of Software Developer. The responsibilities
of this position are focused on core software development tasks in
Synergy International Systems, Inc. Synergy's main focus is on
developing integrated state-of-the-art Web Database and Web Portal
systems for business intelligence, knowledge management and e-Government
solutions. 
This position will be filled by a software developer with a proven
history of producing quality software product in a commercial setting.
Experience in a dynamic workplace with solid software developing
practice is required. Ideally, this position will be filled by a
candidate who has experience in all aspects of the software development
process; including design, implementation, testing and delivery.  
JOB RESPONSIBILITIES:  Specific tasks and key responsibilities include
but are not limited to the following:
- Translate design requirements and specifications into robust
implementations;
- Design, proto-type, develop and manage the technical aspects of the
software;
- Perform implementations in a timely fashion;
- Perform quality assurance tasks, such as testing of the software
products.
REQUIRED QUALIFICATIONS:   
- Degree in Computer Science, Information Technology or related
discipline (Bachelor's Degree in the relevant field required, Master's
Degree preferred); 
- At least 3 years of successful experience in software development;
- Extensive development experience with current industry technologies
including Java, SQL, etc. and related tools;
- Working experience with and design of complex database systems (stored
procedures);
- Experience in J2EE development (JSP/ Servlets);
- Knowledge of one of programming languages (C++/Visual C++; VB);
- Knowledge of HTML/XML, ASP/PHP.
Additional Characteristics:
- Ability to work under pressure and in multi-task environment; 
- Ability to work in a team while being self-directed and highly
motivated;  
- Excellent analytical and problem-solving skills and attention to
detail;
- Excellent interpersonal and organizational skills;
- Fluency in English.
APPLICATION PROCEDURES:   If interested, please send your resume with a
cover letter listing your qualifications, software development related
experience, and indicating your contact details (phone, fax, and/or
e-mail address where you can be reached) to: Ms. Anahit Sargsyan, Office
Manager at: mail@... or mailarm@.... Phone: (374 1)
56 76 81.
Candidates who meet these qualifications will be interviewed and will be
required to take a test. Selected candidates will be notified of the
interview dates directly.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
APPLICATION DEADLINE:   15 March 2004, by 5 PM 
ABOUT COMPANY:   Synergy International Systems, Inc. is a U.S. software
company, operating in Armenia through its Yerevan subsidiary and
specializing in the development of integrated information management
systems.
----------------------------------
To place a free posting for job or other career related opportunities in
your organization at careercenter.am website, e-mail us atmailbox@...","Feb 28, 2004",Software Developer,"Synergy International Systems, Inc./Armenia",,,,,,,"Yerevan, Armenia","Synergy International Systems, Inc./Armenia seeks to
fill the long-term position of Software Developer. The responsibilities
of this position are focused on core software development tasks in
Synergy International Systems, Inc. Synergy's main focus is on
developing integrated state-of-the-art Web Database and Web Portal
systems for business intelligence, knowledge management and e-Government
solutions. 
This position will be filled by a software developer with a proven
history of producing quality software product in a commercial setting.
Experience in a dynamic workplace with solid software developing
practice is required. Ideally, this position will be filled by a
candidate who has experience in all aspects of the software development
process; including design, implementation, testing and delivery.","Specific tasks and key responsibilities include
but are not limited to the following:
- Translate design requirements and specifications into robust
implementations;
- Design, proto-type, develop and manage the technical aspects of the
software;
- Perform implementations in a timely fashion;
- Perform quality assurance tasks, such as testing of the software
products.","- Degree in Computer Science, Information Technology or related
discipline (Bachelor's Degree in the relevant field required, Master's
Degree preferred); 
- At least 3 years of successful experience in software development;
- Extensive development experience with current industry technologies
including Java, SQL, etc. and related tools;
- Working experience with and design of complex database systems (stored
procedures);
- Experience in J2EE development (JSP/ Servlets);
- Knowledge of one of programming languages (C++/Visual C++; VB);
- Knowledge of HTML/XML, ASP/PHP.
Additional Characteristics:
- Ability to work under pressure and in multi-task environment; 
- Ability to work in a team while being self-directed and highly
motivated;  
- Excellent analytical and problem-solving skills and attention to
detail;
- Excellent interpersonal and organizational skills;
- Fluency in English.",,"If interested, please send your resume with a
cover letter listing your qualifications, software development related
experience, and indicating your contact details (phone, fax, and/or
e-mail address where you can be reached) to: Ms. Anahit Sargsyan, Office
Manager at: mail@... or mailarm@.... Phone: (374 1)
56 76 81.
Candidates who meet these qualifications will be interviewed and will be
required to take a test. Selected candidates will be notified of the
interview dates directly.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.",,"15 March 2004, by 5 PM",,"Synergy International Systems, Inc. is a U.S. software
company, operating in Armenia through its Yerevan subsidiary and
specializing in the development of integrated information management
systems.",,2004,2,True
"""Intarnet"" Ltd
JOB TITLE:   Game Developer Specialist
POSITION LOCATION:   Yerevan, Armenia
JOB DESCRIPTION:   The IT company is looking for high qualified Game
Developers to form a dynamic team that will work on various Game
Development projects.
REQUIRED QUALIFICATIONS:  Experience in game developing.
The selection will be based upon the work experience, skills, abilities
and created game demo versions.
APPLICATION PROCEDURES:   To apply for the competition please submit 
- CV;
- Cover letter with the description of developed game/s;
- Demo (draft) Version of your game/s
to Marine at :marine.janvelyan@.... Tel: 561897.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
APPLICATION DEADLINE:  31 March 2004
----------------------------------
To place a free posting for job or other career related opportunities in
your organization at careercenter.am website, e-mail us atmailbox@...","Mar 6, 2004",Game Developer Specialist,"""Intarnet"" Ltd",,,,,,,"Yerevan, Armenia","The IT company is looking for high qualified Game
Developers to form a dynamic team that will work on various Game
Development projects.",,"Experience in game developing.
The selection will be based upon the work experience, skills, abilities
and created game demo versions.",,"To apply for the competition please submit 
- CV;
- Cover letter with the description of developed game/s;
- Demo (draft) Version of your game/s
to Marine at :marine.janvelyan@.... Tel: 561897.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.",,31 March 2004,,,,2004,3,True
"ACRA Credit Bureau
JOB TITLE:   IT Specialist  (full time)
POSITION LOCATION:   Yerevan, Armenia
JOB DESCRIPTION:   ACRA Credit Bureau seeks to fill the long-term
position of IT specialist. Ideally, this position will be filled by a
candidate who has experience in all aspects of the software development
process, including design, implementation, testing and delivery.    
REQUIRED QUALIFICATIONS:   The successful candidate will demonstrate the
following qualifications and competencies:
- Degree in Computer Science, Information Technology or related
discipline (Bachelor's Degree in the relevant field required, Master's
Degree preferred);
- At least 2 years of  job experience;
- Knowledge and experience on Oracle database;
- Database design, proficiency in SQL, PLSQL; 
- Knowledge and experience in software application development in Java
programming language;
- Experience in developing client/server applications and/or web based
applications in Java running on Oracle database;
- Knowledge of setting network, software setup and maintenance is a
plus.
Additional Characteristics:
- Ability to work under pressure and in multi-task environment; 
- Ability to work in a team while being self-directed and highly
motivated;  
- Excellent analytical and problem-solving skills and attention to
detail;
- Excellent interpersonal and organizational skills;
- Fluency in English and Armenian.
REMUNERATION:   Competitive, depends on skills and previous experience.
APPLICATION PROCEDURES:   To be considered, please e-mail a detailed
letter of intent with CV to ACRA Credit Bureau at: acra@...  or send
it to the following address: ACRA Credit Bureau,  Komitas 8/33, Yerevan
375033, Armenia. No information inquiries will be handled over the phone
and only short-listed candidates will be contacted and invited for
interview. 
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
APPLICATION DEADLINE:   19 March 2004, by 5 PM   
ABOUT COMPANY:   ACRA Credit Bureau is a private company that was
established in January, 2004. Credit Bureau is defined as a data bank
that keeps records of consumers' payment patterns of various types of
credit obligations. 
----------------------------------
To place a free posting for job or other career related opportunities in
your organization at careercenter.am website, e-mail us atmailbox@...","Mar 11, 2004",IT Specialist  (full time),ACRA Credit Bureau,,,,,,,"Yerevan, Armenia","ACRA Credit Bureau seeks to fill the long-term
position of IT specialist. Ideally, this position will be filled by a
candidate who has experience in all aspects of the software development
process, including design, implementation, testing and delivery.",,"The successful candidate will demonstrate the
following qualifications and competencies:
- Degree in Computer Science, Information Technology or related
discipline (Bachelor's Degree in the relevant field required, Master's
Degree preferred);
- At least 2 years of  job experience;
- Knowledge and experience on Oracle database;
- Database design, proficiency in SQL, PLSQL; 
- Knowledge and experience in software application development in Java
programming language;
- Experience in developing client/server applications and/or web based
applications in Java running on Oracle database;
- Knowledge of setting network, software setup and maintenance is a
plus.
Additional Characteristics:
- Ability to work under pressure and in multi-task environment; 
- Ability to work in a team while being self-directed and highly
motivated;  
- Excellent analytical and problem-solving skills and attention to
detail;
- Excellent interpersonal and organizational skills;
- Fluency in English and Armenian.
REMUNERATION:   Competitive, depends on skills and previous experience.",,"To be considered, please e-mail a detailed
letter of intent with CV to ACRA Credit Bureau at: acra@...  or send
it to the following address: ACRA Credit Bureau,  Komitas 8/33, Yerevan
375033, Armenia. No information inquiries will be handled over the phone
and only short-listed candidates will be contacted and invited for
interview. 
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.",,"19 March 2004, by 5 PM",,"ACRA Credit Bureau is a private company that was
established in January, 2004. Credit Bureau is defined as a data bank
that keeps records of consumers' payment patterns of various types of
credit obligations.",,2004,3,True
